Name,Win Rate,Kd,Gpm,Gdm,Kills Game,Deaths Game,Towers Killed,Towers Lost,Fb,Ft,Drapg,Dra,Herpg,Her,Dra 15,Td 15,Gd 15,Nash Pg,Nash,Csm,Dpm,Wpm,Vwpm,Wcpm
Isurus Gaming,66.7,1.39,1847,134,11.5,8.3,7.6,4.8,55.6,55.6,2.83,64.1,0.39,38.9,1.06,0,524,0.89,71.7,33.5,1711,2.7,1.08,1.42
Kaos Latin Gamers,16.7,0.8,1701,-155,8.2,10.3,3.6,8.9,72.2,33.3,1.5,32.4,0.5,50,0.89,-0.6,-956,0.33,20.6,32.5,1455,3.2,1.33,1.18
Pixel eSports Club,38.9,0.77,1740,-74,8.4,10.9,5.7,6.7,38.9,44.4,1.94,44.4,0.39,38.9,0.72,-0.4,-515,0.78,42.6,32.5,1651,3.3,1.42,1.32
Rainbow7,72.2,1.38,1890,169,11.9,8.7,8.2,3.9,27.8,50,3.06,68.2,0.56,55.6,0.94,0.1,554,1.28,76.5,34.6,1726,3.7,1.39,1.38
XTEN Esports,44.4,0.8,1689,-129,10,12.4,4.7,7.2,33.3,38.9,1.56,34.3,0.5,50,0.56,-0.3,-1149,0.5,33.3,31.4,1728,3.3,1.17,1.34
ahq e-Sports Club,51.9,1.15,1784,46,12.3,10.6,6.3,5.4,63,44.4,2.56,60.4,0.41,42.3,0.67,-0.2,-19,0.67,54.3,32.9,1740,4,1.58,1.67
Alpha Esports,40.0,0.83,1770,-55,11.2,13.5,5.3,7.3,60,60,2.17,49.5,0.53,53.3,0.93,0.3,823,0.53,35.6,32.8,1842,3.4,1.44,1.29
Dragon Gate Team,23.1,0.54,1721,-195,9.7,17.9,4.3,7.8,34.6,53.8,1.46,44.9,0.62,61.5,0.65,0.3,-87,0.27,16.7,31.8,1893,3.1,1.21,1.32
Flash Wolves,71.4,1.58,1887,174,14.9,9.4,7.3,4.5,42.9,57.1,2.11,53.9,0.43,44.4,0.54,0.3,980,0.86,68.5,34.1,1778,3.7,1.38,1.6
G-Rex,46.7,0.92,1732,-82,10.8,11.8,5.6,6,40,50,1.73,39.3,0.53,53.3,0.5,-0.2,-918,0.63,42.9,32.5,1573,3.6,1.57,1.42
Hong Kong Attitude,44.8,0.91,1809,18,11.3,12.4,6,6.1,62.1,62.1,2.66,59.4,0.41,41.4,1.24,0.3,215,0.79,56.9,33.5,1672,3.3,1.33,1.47
J Team,53.6,1.02,1790,18,12.7,12.5,6.5,5.4,42.9,46.4,1.82,41.6,0.64,64.3,0.57,0,-89,0.79,51.2,32.5,1955,3.9,1.39,1.41
MAD Team,66.7,1.53,1807,68,13.2,8.6,6.3,5.4,53.3,26.7,1.97,51.3,0.4,40,0.77,-0.7,-853,0.77,66.7,32.3,1800,3.5,1.42,1.37
Avant Gaming,57.1,1.16,1859,90,13.8,11.8,7,5.2,47.6,57.1,2.43,56.1,0.71,71.4,0.95,0.2,844,0.76,51.3,33.1,1763,3.4,1.42,1.3
Bombers,90.5,1.96,1979,358,17.6,9,9,2.2,66.7,71.4,2.1,73,0.67,66.7,0.67,0.8,1918,1.05,85,33.7,2078,3.1,1.27,1.24
Chiefs eSports Club,85.7,1.69,1905,218,15.6,9.2,8.1,3.8,47.6,66.7,2.81,79,0.43,42.9,1.19,0.5,1069,0.81,73.8,33.2,1877,3,1.16,1.35
Dire Wolves,4.8,0.46,1609,-342,7.6,16.5,2.3,9.3,42.9,19,1.14,27.9,0.38,38.1,0.24,-0.7,-1558,0.29,13.5,31.4,1501,3.2,1.34,1.03
Gravitas,42.9,0.89,1756,-85,11.8,13.2,5,6.5,57.1,38.1,1.29,35.5,0.38,38.1,0.33,0,-486,0.67,42.9,32.3,1766,3.1,1.24,1.22
Legacy eSports,23.8,0.58,1663,-248,8.9,15.1,3.4,8,28.6,14.3,0.86,22.9,0.33,33.3,0.29,-1,-2235,0.43,27.8,30.6,1428,3.2,1.48,1.06
Mammoth eSports,52.4,1.19,1861,92,14.2,12,6.5,5.7,57.1,76.2,2.33,60.9,0.62,61.9,0.9,0.4,994,0.86,57.5,33.3,1822,2.9,1.13,1.39
Order,42.9,0.81,1751,-83,12,14.8,5.9,6.7,52.4,57.1,1.76,42.7,0.48,47.6,0.52,-0.1,-545,0.81,50,31.3,1758,3.1,1.19,1.27
1907 Fenerbahce,88.9,2.15,1971,388,16.3,7.6,8.8,2.1,72.2,94.4,2.61,76.7,0.78,77.8,1.06,1.3,3059,1.06,91.2,34,1973,3,1.18,1.31
Besiktas Esports,42.1,0.89,1733,-68,12.3,13.7,5.2,7,47.4,52.6,2.05,40.7,0.37,36.8,0.58,-0.1,-51,0.58,40.7,31.2,1833,3.1,1.03,1.34
Bursaspor Esports,5.6,0.47,1579,-382,7,14.9,2.3,9.7,38.9,22.2,0.67,15.9,0.56,55.6,0.44,-1.4,-3376,0.17,8.8,30.1,1406,2.9,1.22,1.05
Dark Passage,47.4,0.95,1748,-36,9.6,10.1,5.7,6.1,21.1,47.4,1.63,40.4,0.42,44.4,0.42,-0.3,-1083,0.63,47.2,32.9,1559,3.4,1.09,1.29
Galakticos,11.1,0.52,1641,-254,7.8,14.9,3.4,8.1,50,38.9,1.72,43,0.44,50,1,0.1,-622,0.17,18.8,30.9,1521,3.5,1.3,1.33
Galatasaray Esports,50.0,1.02,1765,-8,13.2,12.9,6.6,6.4,55.6,61.1,2.39,55.1,0.44,44.4,0.89,-0.1,430,0.72,47.2,31,2020,3.1,1.12,1.26
HWA Gaming,33.3,0.72,1696,-146,10.4,14.3,4.3,7.6,50,22.2,1.67,38.9,0.28,27.8,0.72,-0.6,-952,0.83,42.6,31.8,1543,3,1.09,1.16
Royal Youth,77.8,1.44,1873,213,14.8,10.2,7.4,3.4,50,72.2,2.11,62.5,0.61,64.7,0.83,0.7,1327,0.94,70.6,31.9,2019,3.1,1.03,1.26
SuperMassive,88.9,1.91,1942,289,17.4,9.1,9.1,3.5,55.6,61.1,2.72,74.3,0.56,55.6,1.06,0.6,1619,0.94,75,32.6,2015,2.9,1.15,1.25
Team Aurora,55.6,0.93,1782,10,12.7,13.6,6.1,5.3,55.6,22.2,2,54,0.44,44.4,0.67,-0.3,-248,0.78,55.9,31.1,1671,2.9,1.05,1.12
ACTINA PACT,29.4,0.51,1653,-246,8.2,16.1,4.3,8.4,35.3,29.4,1.53,36.3,0.47,47.1,0.59,-0.9,-2489,0.35,29.2,30.7,1555,2.9,1.18,1.14
devils.one,66.7,1.16,1840,133,12.3,10.6,7.5,4.1,38.9,55.6,2.5,59.3,0.56,55.6,1.11,0.3,553,0.83,64.8,33.3,1813,3.4,1.38,1.27
Esports Academy,20.0,0.76,1666,-267,12.4,16.4,3.1,9,40,40,2.07,43.9,0.4,40,0.8,-0.6,-1353,0.47,24.4,29.3,1668,2.9,1.07,1.12
Illuminar Gaming,59.1,1.15,1805,88,12.5,10.9,7,5.4,50,77.3,2.55,56.6,0.68,68.2,1.14,0.2,898,0.86,63.5,32.6,1879,3.2,1.14,1.22
Indictive Esports,26.7,0.73,1675,-208,11.6,16,4.1,7.7,66.7,33.3,1.27,31,0.2,20,0.4,-0.2,-400,0.4,22.2,30.8,1785,3,1.07,1.19
PRIDE,63.2,1.42,1860,138,13.9,9.8,6.8,4.5,47.4,47.4,1.84,47.9,0.42,42.1,0.79,0.2,474,0.84,64.8,33.1,1980,2.8,1.22,1.22
Rogue Esports Club,88.2,2.01,1983,352,15.8,7.7,9,2.6,64.7,76.5,2.47,63.3,0.71,70.6,0.82,1,2671,1,80.4,34.8,1987,3.2,1.03,1.17
Wisla Plock,36.8,0.9,1699,-85,10.4,11.5,4.8,6.7,57.9,31.6,2.16,55.9,0.47,47.4,0.89,-0.2,-816,0.47,38.9,31.6,1613,3,1.03,1.18
Cerberus Esports,40.6,0.84,1814,-55,13.8,16.4,5.7,6.5,50,68.8,1.69,42.8,0.47,48.4,0.63,0.5,1038,0.5,39.7,32.6,1866,3.3,1.48,1.35
Cherry Gaming,30.0,0.78,1771,-181,14.5,18.5,5,7.9,40,33.3,1.93,45.8,0.27,28.6,0.66,-0.4,-1664,0.53,32.7,31.5,1926,3.5,1.41,1.36
EVOS Esports,64.0,1.08,1886,48,14.2,13.1,7,5.6,52,32,1.92,46.9,0.24,25,0.67,-0.5,-70,0.76,57.9,34.4,1827,3.2,1.12,1.27
FFQTV Gaming,50.0,0.99,1811,-41,14.5,14.6,6.3,6.6,46.9,56.3,1.59,42.2,0.63,66.7,0.67,0.3,-164,0.69,46.7,31.6,1799,3.1,1.24,1.34
FTV Esports,32.3,0.76,1786,-167,14,18.3,4.3,7.7,25.8,32.3,1.48,40.3,0.35,35.5,0.74,-0.9,-1588,0.48,35.6,31.6,1948,3.5,1.35,1.26
GAM Esports,38.2,0.94,1811,-49,13.3,14.1,5.1,6.4,38.2,44.1,1.79,44.7,0.53,56.3,0.76,-0.1,-464,0.59,43.6,33.2,1831,3.4,1.4,1.27
Phong Vu Buffalo,83.3,1.84,2011,328,18.6,10.1,9,2.7,70,66.7,3.2,76.1,0.73,75.9,1.28,0.7,2515,1.07,82.1,35.1,2012,3.7,1.49,1.5
Sky Gaming,65.6,1.18,1926,135,17.7,14.9,6.7,4.9,68.8,53.1,2.16,62,0.53,58.6,0.87,0.3,442,0.75,65.5,32.7,2074,3.2,1.25,1.35
